,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_degree,final_degree,static_break_ties,static_cache_size,static_coef0,static_decision_function_shape,static_max_iter,static_shrinking,static_tol,static_verbose,final_break_ties,final_cache_size,final_coef0,final_decision_function_shape,final_max_iter,final_shrinking,final_tol,final_verbose,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_bootstrap,static_ccp_alpha,static_max_leaf_nodes,static_max_samples,static_min_impurity_decrease,static_min_weight_fraction_leaf,static_monotonic_cst,static_n_jobs,static_oob_score,static_warm_start,final_bootstrap,final_ccp_alpha,final_max_leaf_nodes,final_max_samples,final_min_impurity_decrease,final_min_weight_fraction_leaf,final_monotonic_cst,final_n_jobs,final_oob_score,final_warm_start,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda,static_boosting_type,static_importance_type,static_min_child_weight,static_min_split_gain,static_objective,static_subsample_for_bin,static_subsample_freq,final_boosting_type,final_importance_type,final_min_child_weight,final_min_split_gain,final_objective,final_subsample_for_bin,final_subsample_freq
svm_11,0.8633540372670807,0.8640574371051145,0.8633540372670807,0.8626732829237554,,324,232,55,33,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,,66,53,9,10,0.8405797101449275,0.8434169158806839,0.8405797101449275,0.8390679660169915,,69,47,15,7,1.0,rbf,scale,False,,,1.0,rbf,scale,False,,,3.0,3.0,False,200.0,0.0,ovr,-1.0,True,0.001,False,False,200.0,0.0,ovr,-1.0,True,0.001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.9083850931677019,0.9101344001473545,0.9083850931677019,0.9078487867729363,0.9747703959632633,340,245,42,17,0.8768115942028986,0.8779180909869951,0.8768115942028986,0.8761852013028972,0.8968590831918506,70,51,11,6,0.7971014492753623,0.8059782608695651,0.7971014492753623,0.7927456863025223,0.8881578947368421,69,41,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_2,0.8742236024844721,0.8757655727424749,0.8742236024844721,0.8734109046254763,0.9489356718297074,330,233,54,27,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.9011035653650254,69,51,11,7,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.883276740237691,68,42,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,5.0,5.0,5.0,sqrt,,300.0,5.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_3,0.9239130434782609,0.9249295842710592,0.9239130434782609,0.9235967743055946,0.983788637406182,342,253,34,15,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.9019524617996604,67,51,11,9,0.8115942028985508,0.8181949934123847,0.8115942028985508,0.808393930212594,0.8881578947368421,69,43,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,9.0,5.0,5.0,sqrt,,300.0,9.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_4,0.9083850931677019,0.9098034116912835,0.9083850931677019,0.9079025259205005,0.9757268761163,339,246,41,18,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.900679117147708,68,50,12,8,0.7898550724637681,0.796702657614096,0.7898550724637681,0.7858277249581598,0.8834889643463497,68,41,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,entropy,300.0,7.0,5.0,5.0,sqrt,entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_5,0.9006211180124224,0.9020909293265106,0.9006211180124224,0.9000687682766155,0.9753462360553978,337,243,44,20,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.898981324278438,69,51,11,7,0.7898550724637681,0.7999444280665372,0.7898550724637681,0.7848332055474213,0.8892190152801359,69,40,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,log_loss,300.0,7.0,5.0,5.0,sqrt,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_6,0.9316770186335404,0.9326368191369,0.9316770186335404,0.9314111077495808,0.9877121580339452,344,256,31,13,0.8478260869565217,0.8478120948107795,0.8478260869565217,0.8474122842604291,0.9000424448217318,67,50,12,9,0.8043478260869565,0.8092522366267847,0.8043478260869565,0.8014266931358687,0.881578947368421,68,43,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,2.0,sqrt,,300.0,7.0,5.0,2.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_7,0.8773291925465838,0.8796398756163156,0.8773291925465838,0.8763797510937141,0.9595155135224822,333,232,55,24,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.8979202037351444,69,50,12,7,0.782608695652174,0.7904991948470209,0.782608695652174,0.7779418067527025,0.8790322580645162,68,40,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,8.0,sqrt,,300.0,7.0,5.0,8.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_8,0.906832298136646,0.9078010692147443,0.906832298136646,0.9064198854054711,0.9736382357821178,337,247,40,20,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.9008913412563667,67,51,11,9,0.7971014492753623,0.8059782608695651,0.7971014492753623,0.7927456863025223,0.8862478777589134,69,41,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,7.0,5.0,5.0,sqrt,,200.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_9,0.906832298136646,0.9087353625189146,0.906832298136646,0.9062588453258082,0.9743799959007994,340,244,43,17,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.8968590831918506,68,50,12,8,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.8851867572156197,68,42,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_10,0.9037267080745341,0.9059547972591451,0.9037267080745341,0.9030746393338682,0.9745947159351546,340,242,45,17,0.8405797101449275,0.8403939056112969,0.8405797101449275,0.8403081831449615,0.8979202037351443,66,50,12,10,0.8115942028985508,0.8181949934123847,0.8115942028985508,0.808393930212594,0.8851867572156197,69,43,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,log2,,300.0,7.0,5.0,5.0,log2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,1.0,1.0,1.0,1.0,1.0,357,287,0,0,0.8768115942028986,0.8770738440303657,0.8768115942028986,0.8768964391976197,0.8972835314091681,67,54,8,9,0.8115942028985508,0.8181949934123847,0.8115942028985508,0.808393930212594,0.8943123938879457,69,43,19,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,100.0,,2.0,1.0,sqrt,gini,100.0,,2.0,1.0,sqrt,gini,True,0.0,,,0.0,0.0,,,False,False,True,0.0,,,0.0,0.0,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm_1,0.8509316770186336,0.8508434098447039,0.8509316770186336,0.85087926404419,0.9170009467201516,310,238,49,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.902376910016978,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8792444821731749,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,,,,,,,,,,,,,,,,,300.0,4.0,,,,,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0,,,,,,,,,,,,,,
lightgbm_2,0.8509316770186336,0.8508434098447039,0.8509316770186336,0.85087926404419,0.9170009467201516,310,238,49,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.902376910016978,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8792444821731749,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,,,,,,,,,,,,,,,,,300.0,4.0,,,,,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,100.0,0.8,0.8,0.05,5.0,5.0,7.0,100.0,0.8,0.8,0.05,5.0,5.0,,,,,,,,,,,,,,
